Count;;;N NI;;;Count of objects available in this stream
Status;;;N NI;;;bit field (0=IsAccepted, 1=IsFilled, 2=IsUpdated, 3=IsFinished)
StreamCount;;;N NI;;;Count of streams of that kind available
StreamKind;Image;;N NT;;;Stream type name
StreamKind/String;;;N NT;;;Stream type name
StreamKindID;;;N NI;;;Number of the stream (base=0)
StreamKindPos;;;N NI;;;When multiple streams, number of the stream (base=1)
StreamOrder;;;N YIY;;;Stream order in the file, whatever is the kind of stream (base=0)
FirstPacketOrder;;;N YIY;;;Order of the first fully decodable packet met in the file, whatever is the kind of stream (base=0)
Inform;;;N NT;;;Last **Inform** call
ID;;;N YIY;;;The ID for this stream in this file
ID/String;;;Y NT;;;The ID for this stream in this file
UniqueID;;;N YIY;;;The unique ID for this stream, should be copied with stream copy
UniqueID/String;;;Y NT;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YIY;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Title;;;Y YI;;;Name of the track
Format;;;Y YTY;;;Format used
Format/Info;;;Y NT;;;Info about Format
Format/Url;;;N NT;;;Link
Format_Commercial;;;N NT;;;Commercial name used by vendor for theses setings or Format field if there is no difference
Format_Commercial_IfAny;;;Y YTY;;;Commercial name used by vendor for theses setings if there is one
Format_Version;;;Y NTY;;;Version of this format
Format_Profile;;;Y NTY;;;Profile of the Format
Format_Compression;;;N YTY;;;Compression mode of the Format
Format_Settings;;;Y NT;;;Settings needed for decoder used
Format_Settings_Wrapping;;;Y YTY;;;Wrapping mode (Frame wrapped or Clip wrapped)
InternetMediaType;;;N YT;;;Internet Media Type (aka MIME Type, Content-Type)
CodecID;;;Y YTY;;;Codec ID (found in some containers);;
CodecID/String;;;Y NT;;;Codec ID (found in some containers);;
CodecID/Info;;;Y NT;;;Info about codec ID
CodecID/Hint;;;Y NT;;;A hint for this codec ID
CodecID/Url;;;N NT;;;A link for more details about this codec ID
CodecID_Description;;;Y YT;;;Manual description given by the container
Codec;;;N NT;;;Deprecated, do not use in new projects
Codec/String;;;N NT;;;Deprecated, do not use in new projects
Codec/Family;;;N NT;;;Deprecated, do not use in new projects
Codec/Info;;;N NT;;;Deprecated, do not use in new projects
Codec/Url;;;N NT;;;Deprecated, do not use in new projects
Width;; pixel;N YIY;;;Width (aperture size if present) in pixel
Width/String;;;Y NT;;;Width (aperture size if present) with measurement (pixel)
Width_Offset;; pixel;N YIY;;;Offset between original width and displayed width (aperture size) in pixel
Width_Offset/String;;;N NT;;;Offset between original width and displayed width (aperture size)  in pixel
Width_Original;; pixel;N YIY;;;Original (in the raw stream) width in pixel
Width_Original/String;;;Y NT;;;Original (in the raw stream) width with measurement (pixel)
Height;; pixel;N YIY;;;Height (aperture size if present) in pixel
Height/String;;;Y NT;;;Height (aperture size if present) with measurement (pixel)
Height_Offset;; pixel;N YIY;;;Offset between original height and displayed height (aperture size) in pixel
Height_Offset/String;;;N NT;;;Offset between original height and displayed height (aperture size)  in pixel
Height_Original;; pixel;N YIY;;;Original (in the raw stream) height in pixel
